"","plots","lat","lon","elevation","slope","aspect","burn_count","canopy07","canopy18","inv_ratio07","inv_ratio18","soil_texture","drainage","soil_index","tree_group","tree_group_07","tree_group_18","area_name","com_class","geo_drainage","ECM_ACM"
"1","A107",41.8116071615987,-88.0486841239551,767.476013183594,0.0554479142466815,340.952045611791,3,NA,NA,0.992481203007519,NA,1,3,3,NA,NA,NA,NA,NA,786.381092970907,0
"2","A116",41.8116898799562,-88.0453860361312,770.596862792969,0.277483357316518,174.022018516713,2,0.341892183824425,0.801925359510715,0.393700787401575,0.666666666666667,1,2,2,NA,"Salix","Salix",NA,NA,818.885076737984,0
"3","A121",41.8117360508064,-88.0435535563129,772.450439453125,0.240733961139041,207.753893876016,5,1.34292190285737,0.983583966324756,0.115384615384615,NA,1,2,2,"AshElm","Ostrya","Ostrya",NA,NA,822.463857267958,0
"4","A124",41.8117641516185,-88.0424543405023,786.317138671875,0.084947652444138,114.766172128352,5,3.31620661084075,4.43738851787113,0.0869565217391304,NA,2,2,4,"Cherry","Acer","Tilia",NA,NA,796.066255574178,0
"5","A126",41.8117825360326,-88.0417213017458,776.416076660156,0.243383318642123,196.992133493782,5,9.68040674969889,7.39191933518335,0.0106382978723404,NA,1,2,2,"B.wood","Tilia","Tilia",NA,NA,824.360675856265,0
"6","A128",41.81180091635,-88.0409884918581,772.207885742188,0.29189634478441,157.087337467461,5,13.6504683567937,8.25008041009461,NA,NA,1,2,2,"WOak","Quercus","Quercus",NA,NA,818.061105360855,0
"7","A131",41.8118283059566,-88.0398890478079,773.131652832031,0.250952045414138,177.359709623591,NA,54.0735231566284,16.1285756375801,NA,0.5,1,2,2,"BurOak","Quercus","Quercus","East Woods","Mesic woodland",817.640434736129,0
"8","A133",41.8118470164452,-88.0391557768606,769.953308105469,0.137023473544667,114.260720636614,NA,12.074525330126,6.99252909124647,0.511627906976744,0.363636363636364,1,2,2,"ROak","Quercus","Quercus",NA,NA,785.609708936815,0
"9","A135",41.811865380392,-88.0384229655993,770.398254394531,0.406281196057782,198.254915544213,NA,6.46725453897689,6.27540536450528,0.166666666666667,NA,1,4,4,"AshElm","Carya","",NA,NA,850.945498606168,0
"10","A137",41.8118837396628,-88.0376901539465,767.182312011719,0.685190479999055,145.652245670742,NA,10.6341932263426,5.34580836128153,0.904109589041096,NA,1,4,4,"AshElm","Maclura","Robinia",NA,NA,866.981844135795,0
"11","AA114",41.8188054070094,-88.0464366224129,696.415893554688,0.065231756065748,170.373670955998,5,12.5202552576334,7.0528818832255,0.632352941176471,NA,2,2,4,NA,"Acer","Acer",NA,NA,707.529667298516,0
