"point.ID","poly.ID","Id","Burn_Date","Location","Acres","NOTES","Brn_Report","PlotID"
1,NA,NA,NA,NA,NA,NA,NA,"X-78"
2,NA,NA,NA,NA,NA,NA,NA,"X-76"
3,NA,NA,NA,NA,NA,NA,NA,"W-72"
4,NA,NA,NA,NA,NA,NA,NA,"W-71"
5,NA,NA,NA,NA,NA,NA,NA,"V-76"
6,NA,NA,NA,NA,NA,NA,NA,"V-73"
7,267,0,NA,NA,10.6,NA,"W:\Collections\Maintenance\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","U-95"
7,227,0,"2009/11/06","Central Woods",28.8043,NA,NA,"U-95"
7,98,0,"2006/11/22","Bur Reed",10.6246,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","U-95"
7,9,0,"2012/11/28","Woodland E. of Bur Reed",9.5,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\11-28-2012.pdf","U-95"
8,NA,NA,NA,NA,NA,NA,NA,"U-74"
9,NA,NA,NA,NA,NA,NA,NA,"T-75"
10,NA,NA,NA,NA,NA,NA,NA,"T-74"
11,NA,NA,NA,NA,NA,NA,NA,"S-75"
12,NA,NA,NA,NA,NA,NA,NA,"S-72"
13,NA,NA,NA,NA,NA,NA,NA,"S-70"
14,NA,NA,NA,NA,NA,NA,NA,"T-70"
15,NA,NA,NA,NA,NA,NA,NA,"U-70"
16,150,0,NA,NA,26.5976,NA,NA,"R-83"
16,10,0,"2012/11/28","Woodland N. of Bur Reed",21.7,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\11-28-2012.pdf","R-83"
16,315,0,NA,NA,26.6,NA,NA,"R-83"
16,227,0,"2009/11/06","Central Woods",28.8043,NA,NA,"R-83"
17,92,0,NA,NA,7.2358,NA,NA,"R-79"
17,65,27,NA,NA,7.30002,NA,NA,"R-79"
17,380,0,"2013/04/02","Crowley Marsh",0,NA,NA,"R-79"
17,262,0,NA,NA,7.24,NA,NA,"R-79"
17,226,0,"2015/04/06","Crowley Marsh",11.1456,NA,NA,"R-79"
17,386,438,"2014/11/07","Crowley Marsh",0,NA,"T:\Natural resources\Burns\2014 Fall Burns\11-7-2014\Crowley Marsh\Crowley Marsh Burn Report.pdf","R-79"
17,28,0,"2011/12/01","Crowley Marsh",1.9,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\2011.Burn Report.Crowley Marsh.pdf","R-79"
18,NA,NA,NA,NA,NA,NA,NA,"R-75"
19,9,0,"2012/11/28","Woodland E. of Bur Reed",9.5,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\11-28-2012.pdf","Q-96"
19,267,0,NA,NA,10.6,NA,"W:\Collections\Maintenance\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","Q-96"
19,227,0,"2009/11/06","Central Woods",28.8043,NA,NA,"Q-96"
19,98,0,"2006/11/22","Bur Reed",10.6246,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","Q-96"
20,98,0,"2006/11/22","Bur Reed",10.6246,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","P-95"
20,64,26,NA,NA,0.59956,NA,NA,"P-95"
20,11,0,"2012/11/28","Bur Reed Drainage",5.5,NA,"Y:\Collections\Natural Resources Management\Burn\Burn History\11-28-2012.pdf","P-95"
20,267,0,NA,NA,10.6,NA,"W:\Collections\Maintenance\Burn\Burn History\Burn Plan.Bur Reed Marsh.pdf","P-95"
21,317,0,NA,NA,4.1,NA,NA,"GG-103"
21,392,444,"2015/03/17","Crataegus North",6.11,NA,NA,"GG-103"
21,152,0,NA,NA,4.06733,NA,NA,"GG-103"
21,256,0,NA,"Hawthorn Meadow",23.29,"every 1-2 years from 1996-2003",NA,"GG-103"
21,215,0,"2013/03/28","Crataegus North",6.45626,NA,NA,"GG-103"
21,86,0,"2016/03/29","N. Crataegus & Heritage Woodland",31.1258,NA,NA,"GG-103"
22,420,0,"2013/03/28","Crataegus South",0,NA,NA,"CC-106"
22,265,0,"2016/03/29","South Crataegus",0,NA,"W:\Collections\Maintenance\Burn\Burn History\Burn Plan.Big Rock Meadow.Heritage Trail.pdf","CC-106"
