"point.ID","poly.ID","OBJECTID","Shape_Leng","Shape_Area","Drainage","Name","texture","consistenc","Permeabili","wtrhldgcap","watertbl","orgmatter","rootdevdep","PlotID"
1,69,69,2482.32096255,278408.561874,"poorly drained","23 Blount","silt loam","friable","moderate to very rapid","moderate","1-3' depth during wet season","moderately low","37 inches","X-78"
2,69,69,2482.32096255,278408.561874,"poorly drained","23 Blount","silt loam","friable","moderate to very rapid","moderate","1-3' depth during wet season","moderately low","37 inches","X-76"
3,43,43,3989.64234206,282552.201935,"well-drained","194 Ozaukee","silt loam","friable","moderate to very rapid","moderate","perched water table in spring","moderately low","34 inches","W-72"
4,43,43,3989.64234206,282552.201935,"well-drained","194 Ozaukee","silt loam","friable","moderate to very rapid","moderate","perched water table in spring","moderately low","34 inches","W-71"
5,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","V-76"
6,47,47,3307.40890991,117790.439092,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","V-73"
7,84,84,1706.05096208,112044.679317,"very poorly drained","330 Peotone","silty clay loam","sticky","moderately slow to slow","high","<1' depth during wet season","high","not described","U-95"
8,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","U-74"
9,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","T-75"
10,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","T-74"
11,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","S-75"
12,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","S-72"
13,41,41,6054.01708719,632251.153297,"poorly drained","298 Beecher","silt loam","friable","slow","moderate","not described","moderate","34 inches","S-70"
14,41,41,6054.01708719,632251.153297,"poorly drained","298 Beecher","silt loam","friable","slow","moderate","not described","moderate","34 inches","T-70"
15,41,41,6054.01708719,632251.153297,"poorly drained","298 Beecher","silt loam","friable","slow","moderate","not described","moderate","34 inches","U-70"
16,75,75,3593.8359938,798113.50803,"moderately well-drained","195 Glynwood","silt loam","friable","moderate to very rapid","not described","perched water table in spring","not described","not described","R-83"
17,78,78,992.048916559,55265.7056288,"very poorly drained","1330 Peotone, wet","silty clay loam","sticky","moderately slow","high","not described","high","not described","R-79"
18,44,44,3453.15401034,385566.0985,"moderately well-drained","531 Markham","silt loam","friable","moderately slow to slow","moderate","perched water table in spring","moderate","34 inches","R-75"
19,83,83,7199.40852259,462711.427945,"poorly drained","146 Elliott","silt loam","friable","moderate to very rapid","moderate to high","1-3' depth during wet season","high","37 inches","Q-96"
20,84,84,1706.05096208,112044.679317,"very poorly drained","330 Peotone","silty clay loam","sticky","moderately slow to slow","high","<1' depth during wet season","high","not described","P-95"
