PltSequence,Plot,Aspect,Slope,Group,Grp,Type,Elevation,CanopyOpenness,LnSlope,LnCanopyOpenness,BA,LnBA,InMoIndx,GLRichness,AlienRich,AlienCover,AlienNativeRatio,xRn,xRa_xRn,LnxRn,LnANratio,ASden,NSden,xRaS,xRnS,A_NSden,A_NxRS,GraminoidR,SpringR,SummerR,WoodyR,Spring_SummerRatio,WoodyCoverGL
1,A-121,237.875,3.6316,F.am-U.am,AshElm,W.ash,234.7,7.27,1.289673323,1.983756292,0.062380902,-2.774496108,138.36,5,0,0,0,5,0,1.791759469,0,3,4,1,3,0.8,0.5,0,1,2,2,0.666666667,9
43,A-124,196.9274,1.7213,P.serot,Cherry,Cherry,238.2,8.77,0.543079819,2.171336806,0.154043198,-1.870522209,141.07,11,2,4,0.181818182,11,0.181818182,2.48490665,0.167054085,0,3,0,1,0.25,0.5,0,3,2,4,1.333333333,9
117,A-126,111.194,3.7585,T.americana,B.wood,B'wood,236.7,10.67,1.324019942,2.367436065,0.449670643,-0.799239869,143.01,14,1,1,0.071428571,14,0.071428571,2.708050201,0.068992871,0,0,0,0,1,1,0,4,10,0,0.454545455,0
297,A-128,160.4634,4.7011,Q.alba,WOak,W.oak,234,8.78,1.547796524,2.172476408,0.634086406,-0.455570047,137.44,12,0,0,0,12,0,2.564949357,0,0,2,0,1,0.333333333,0.5,0,2,8,2,0.333333333,2
152,A-131,202.9321,4.0371,Q.macrocarpa,BurOak,B.oak,234.6,7.28,1.395526612,1.985130862,2.511803098,0.921000861,137.23,5,0,0,0,5,0,1.791759469,0,0,0,0,0,1,1,0,1,1,3,1,12
226,A-133,130.601,1.3204,Q.rubra,ROak,R.oak,235,8.72,0.277934721,2.165619238,0.560881335,-0.57824592,141.75,3,1,5,0.333333333,3,0.333333333,1.386294361,0.287682073,17,1,2,1,9,1.5,0,1,1,1,1,5
5,A-135,202.457,5.7924,F.am-U.am,AshElm,W.ash,233.1,10.89,1.756546713,2.387844937,0.30041448,-1.202592158,134.32,3,2,10,0.666666667,3,0.666666667,1.386294361,0.510825624,5,0,1,0,6,2,0,1,1,1,1,25
18,A-137,147.4258,6.0961,F.am-U.am,AshElm,W.ash,233.3,11.43,1.807649222,2.436241478,0.191524945,-1.652737218,137.21,4,2,60,0.5,4,0.5,1.609437912,0.405465108,6,2,1,2,2.333333333,0.666666667,0,1,1,2,1,4
183,AA-116,331.6989,1.0573,A.saccharum,Maple,Maple,211.1,9.32,0.055718489,2.232162629,1.13840837,0.12963112,136.14,4,0,0,0,4,0,1.609437912,0,0,1,0,1,0.5,0.5,2,1,0,3,2,19
32,AA-117,343.3006,1.4951,F.am-U.am,AshElm,W.ash,211.3,8.57,0.402193094,2.148267733,0.719403341,-0.329333104,136.63,10,0,0,0,10,0,2.397895273,0,0,7,0,1,0.125,0.5,1,7,1,2,4,11
363,AA-118,8.9727,1.3774,Q.alba,WOak,W.oak,211.3,9.21,0.320197664,2.22028985,0.664823271,-0.408234032,137.01,4,0,0,0,4,0,1.609437912,0,0,4,0,1,0.2,0.5,0,2,1,1,1.5,12
158,AA-125,4.0859,2.0096,Q.macrocarpa,BurOak,B.oak,208.5,9.06,0.697935697,2.20386912,0.937981047,-0.064025536,136.99,6,0,0,0,6,0,1.945910149,0,0,0,0,0,1,1,0,4,1,1,2.5,40
149,AA-129,356.5664,7.1377,T.americana,B.wood,B'wood,208.3,6.31,1.965390596,1.842135677,0.396856071,-0.924181606,142.11,4,0,0,0,4,0,1.609437912,0,0,3,0,1,0.25,0.5,0,1,2,1,0.666666667,2
121,AY-130,168.6896,2.1901,T.americana,B.wood,B'wood,229.3,68.09,0.783947205,4.220830359,0.735690303,-0.306946033,138.38,5,0,0,0,5,0,1.791759469,0,16,0,2,0,17,3,0,2,1,2,1.5,4
33,AZ-133,171.8698,6.0545,F.am-U.am,AshElm,W.ash,232.7,9.51,1.800801797,2.252343877,0.417651907,-0.873106952,134.59,0,2,72,,0,,0,,14,0,1,0,15,2,0,0,0,0,1,0
275,B-127,172.5685,4.9711,Q.rubra,ROak,R.oak,236.7,9.44,1.603641144,2.24495598,0.723571114,-0.323556446,137.42,17,0,0,0,17,0,2.890371758,0,0,1,0,1,0.5,0.5,0,6,8,3,0.777777778,3
385,B-128,142.5946,4.5883,Q.alba,WOak,W.oak,235.9,10.31,1.523509585,2.333114298,0.99226499,-0.00776508,139.55,12,0,0,0,12,0,2.564949357,0,0,8,0,2,0.111111111,0.333333333,0,3,6,3,0.571428571,64
276,BB-115,351.0269,1.3774,Q.rubra,ROak,R.oak,209.2,7.92,0.320197664,2.069391206,1.005234819,0.005221165,135.89,4,0,0,0,4,0,1.609437912,0,0,0,0,0,1,1,0,1,3,0,0.5,0
372,BB-116,24.7752,4.0948,Q.alba,WOak,W.oak,209.5,6.81,1.409717876,1.91839212,1.271247149,0.239998426,139.67,6,1,4,0.166666667,6,0.166666667,1.945910149,0.15415068,0,5,0,3,0.166666667,0.25,0,3,2,1,1.333333333,10
227,BB-118,2.779,7.345,Q.rubra,ROak,R.oak,209.6,8.48,1.99401981,2.13771045,0.836013183,-0.179110897,142.93,8,0,0,0,8,0,2.197224577,0,0,1,0,1,0.5,0.5,0,5,1,2,3,23
228,BB-121,334.9828,3.552,Q.rubra,ROak,R.oak,206.7,9.26,1.267510825,2.225704049,0.835660815,-0.179532472,136.73,7,2,7,0.285714286,7,0.285714286,2.079441542,0.251314428,0,3,0,1,0.25,0.5,0,5,0,2,6,35
10,BB-128,188.1294,0.5064,F.am-U.am,AshElm,W.ash,206.5,15.02,-0.680428408,2.709382646,0.10198749,-2.28290512,133.16,1,1,20,1,1,1,0.693147181,0.693147181,0,1,0,1,0.5,0.5,0,0,1,0,0.5,0
19,BB-140,259.9929,1.2362,F.am-U.am,AshElm,W.ash,208,8.01,0.212042158,2.080690761,0.287577949,-1.246261329,133.61,0,0,0,,0,,0,,2,0,1,0,3,2,0,0,0,0,1,0
20,BB-141,254.0546,2.0847,F.am-U.am,AshElm,W.ash,209,7.81,0.73462496,2.055404964,1.238345025,0.213775831,133.11,0,1,2,,0,,0,,12,2,1,1,4.333333333,1,0,0,0,0,1,0
51,BB-144,188.1303,2.5305,P.serot,Cherry,Cherry,210.9,8.02,0.928416912,2.081938422,0.686947815,-0.37549695,132.07,0,2,9,,0,,0,,13,0,2,0,14,3,0,0,0,0,1,0
229,BB-84,345.2555,1.4068,Q.rubra,ROak,R.oak,221.5,11.03,0.341317622,2.400618833,1.175891853,0.162026884,139.63,6,1,1,0.166666667,6,0.166666667,1.945910149,0.15415068,0,1,0,1,0.5,0.5,0,2,2,2,1,3
298,BB-92,327.8038,2.2839,Q.alba,WOak,W.oak,224.6,10.34,0.825884508,2.336019869,0.465153892,-0.765386978,140.99,5,1,1,0.2,5,0.2,1.791759469,0.182321557,0,4,0,2,0.2,0.333333333,0,0,1,4,0.5,54
