Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Acer ginnala,Acer ginnala,,1,Synonym,Acer tataricum subsp. ginnala,(Maxim.) Wesm.,Sapindaceae,tpl, ,
Acer platanoides,Acer platanoides,,1,Accepted,Acer platanoides,L.,Sapindaceae,tpl;tropicos;usda, ,
Achyranthes japonica ,Achyranthes,,0.9,Accepted,Achyranthes,,Amaranthaceae,tpl, ,
Ailanthus altissima ,Ailanthus,,0.9,Accepted,Ailanthus,,Simaroubaceae,tpl, ,
Alliaria petiolata ,Alliaria,,0.9,Accepted,Alliaria,,Brassicaceae,tpl, ,
Allium vineale,Allium vineale,,1,Accepted,Allium vineale,L.,Amaryllidaceae,tpl;tropicos;usda, ,
Berberis thunbergii,Berberis thunbergii,,1,Accepted,Berberis thunbergii,DC.,Berberidaceae,tpl;tropicos;usda, ,
Bromus arvensis,Bromus arvensis,,1,Accepted,Bromus arvensis,L.,Poaceae,tpl;tropicos;usda, ,
Bromus inermis,Bromus inermis,,1,Accepted,Bromus inermis,Leyss.,Poaceae,tpl;tropicos;usda, ,
Bromus racemosus,Bromus racemosus,,1,Accepted,Bromus racemosus,L.,Poaceae,tpl;tropicos;usda, ,
Bromus secalinus,Bromus secalinus,,1,Accepted,Bromus secalinus,L.,Poaceae,tpl;tropicos;usda, ,
Bromus tectorum,Bromus tectorum,,1,Accepted,Bromus tectorum,L.,Poaceae,tpl;tropicos;usda, ,
Carduus nutans,Carduus nutans,,1,Accepted,Carduus nutans,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:B2CB0F91-5C1F-458C-912A-4C623E5ACCF2
Celastrus orbiculatus,Celastrus orbiculatus,,1,Accepted,Celastrus orbiculatus,Thunb.,Celastraceae,tpl;tropicos;usda, ,
