Accepted Symbol,Synonym Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Family,Duration,Native Status,Active Growth Period,Fire Resistance,Bloom Period
ABUTI,,Abutilon,"NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Malvaceae,,"L48(I,N)CAN(I)",,,
ACALY,,Acalypha,NA (L48),"CAN(NB, NS, ON, QC), USA+(PR, VI), USA(AL, AR, AS, AZ, CA, CT, DC, DE, FL, FM, GA, GU, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, SD, TN, TX, UM, VA, VT, WI, WV)",Euphorbiaceae,,"L48(I,N)CAN(N)",,,
ACDE4,,Acalypha deamii,NA (L48),"USA(AR, IA, IL, IN, KS, KY, MO, OH, PA, TN, VA)",Euphorbiaceae,Annual,L48(N),,,
ACGR2,,Acalypha gracilens,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Euphorbiaceae,Annual,L48(N),,,
ACMO4,,Acalypha monococca,NA (L48),"USA(AR, IL, KS, LA, MO, OK, TX)",Euphorbiaceae,Annual,L48(N),,,
ACOS,,Acalypha ostryifolia,"NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, AZ, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WV)",Euphorbiaceae,Annual,L48(N)PR(N)VI(N),,,
ACVI,,Acalypha virginica,NA (L48),"USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)",Euphorbiaceae,Annual,L48(N),"Spring, Summer, Fall",No,Early Summer
ACER,,Acer,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Aceraceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
ACFL,,Acer floridanum,NA (L48),"USA(AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Aceraceae,Perennial,L48(N),,,
ACNEV,,Acer negundo var. violaceum,NA (L48),"USA(CO, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, OK, RI, SD, WA, WI, WY)",Aceraceae,Perennial,L48(N),,,
ACRUD,,Acer rubrum var. drummondii,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Aceraceae,Perennial,L48(N),,,
ACSAS2,,Acer saccharum var. schneckii,NA (L48),"USA(AL, AR, GA, IL, IN, KY, MO, OH, TN)",Aceraceae,Perennial,L48(N),,,
ACHIL,,Achillea,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)",,,
ACONI,,Aconitum,NA (L48),"CAN(AB, BC, NB, NF, NS, NT, ON, QC, YT), USA(AK, AL, AZ, CA, CO, CT, DC, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NM, NV, NY, OH, OR, PA, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Ranunculaceae,,"L48(I,N)CAN(GP)",,,
ACUN,,Aconitum uncinatum,NA (L48),"USA(AL, DC, GA, IL, IN, KY, MD, MO, NC, NH, OH, PA, SC, TN, VA, WV)",Ranunculaceae,Perennial,L48(N),,,
ACUNU,,Aconitum uncinatum ssp. uncinatum,NA (L48),"USA(AL, DC, GA, IL, IN, KY, MD, MO, NC, NH, OH, SC, TN, VA, WV)",Ranunculaceae,Perennial,L48(N),,,
ACORU,,Acorus,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA(AK, AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)",Acoraceae,,"L48(I,N)CAN(I,N)",,,
ACTAE,,Actaea,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Ranunculaceae,,"L48(I,N)CAN(N)",,,
ACPO11,,Actaea podocarpa,NA (L48),"USA(GA, IL, KY, MD, NC, PA, SC, TN, VA, WV)",Ranunculaceae,Perennial,L48(N),,,
ACRU14,,Actaea rubifolia,NA (L48),"USA(AL, IL, IN, KY, PA, TN, VA)",Ranunculaceae,Perennial,L48(N),,,
ADIAN,,Adiantum,"NA (L48, PB)","CAN(AB, BC, NB, NF, NS, ON, QC), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NAV, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Pteridaceae,,"L48(I,N)CAN(N)",,,
ADLUM,,Adlumia,NA (L48),"CAN(MB, NB, NS, ON, QC), USA(CT, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV)",Fumariaceae,,L48(N)CAN(N),,,
ADOXA,,Adoxa,NA (L48),"CAN(AB, BC, MB, NT, ON, SK, YT), USA(AK, CO, IA, IL, MN, MT, NM, NY, SD, UT, WI, WY)",Adoxaceae,,L48(N)CAN(N),,,
AESCU,,Aesculus,NA (L48),"CAN(BC, NB, ON, QC), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WA, WI, WV)",Hippocastanaceae,,"L48(I,N)CAN(I,N)",,,
AEMA2,,Aesculus Ã—marylandica,NA (L48),"USA(AL, IA, IL, IN, KY, MI, MO, OH, TN)",Hippocastanaceae,Perennial,L48(N),,,
AEFL,,Aesculus flava,NA (L48),"USA(AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV)",Hippocastanaceae,Perennial,L48(N),Spring and Summer,No,Late Spring
AGALI,,Agalinis,NA (L48),"CAN(MB, NB, NS, ON, QC), USA+(PR), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Scrophulariaceae,,L48(N)CAN(N),,,
AGAU3,,Agalinis auriculata,NA (L48),"USA(AL, AR, DC, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NJ, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Scrophulariaceae,Annual,L48(N),,,
AGFA2,,Agalinis fasciculata,"NA (L48), PR","USA+(PR), USA(AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)",Scrophulariaceae,Annual,L48(N)PR(N),,,
AGAST,,Agastache,NA (L48),"CAN(AB, BC, MB, NB, NT, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Lamiaceae,,L48(N)CAN(N),,,
