Date,Sampler,Plot ID Number,6-Letter Code,Species Name,% Cover,Cover Class (1-7),# of Woody Seedlings ,Notes,,,,,,,,,,,
5/7/18,"JLL, WS",SS113,ACARHO,Acalypha rhomboidea,2,2,,,,,,,,,,,,,
5/15/18,"CB, PB",HB131,ACENEG,Acer negundo,2,2,,,,,,,,,,,,,
5/10/18,"PB, WO",TT133,ACENEG,Acer negundo,2,2,,,,,,,,,,,,,
4/30/18,"CB, PB",I109,Acer sp.,Acer sp.,1,2,,,,,,,,,,,,,
6/5/18,"JL, SL",BB128,ACESAI,Acer saccharinum,3,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",A126,ACESAU,Acer saccharum,5,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",AA116,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",AA117,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/3/18,"JLL,PB",AA118,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,
5/3/18,"BS, WO",AA129,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",BB116,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/3/18,"WS, JLL",BB121,ACESAU,Acer saccharum,2,2,1,,,,,,,,,,,,
5/9/18,"BS, SL",BB140,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/22/18,JLL,CC106,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/8/18,"MO, PB",DD83,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/19/18,CB,EE111,ACESAU,Acer saccharum,8,3,6,,,,,,,,,,,,
5/22/18,CB,EE77,ACESAU,Acer saccharum,6,3,2,,,,,,,,,,,,
5/7/18,"PB, SZ",FF91,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",G132,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/4/18,"BS, WO",GG121,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",GG92,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,
5/16/18,PB,HA124,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/16/18,PB,HB125,ACESAU,Acer saccharum,7,3,,,,,,,,,,,,,
5/16/18,PB,HB126,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/16/18,PB,HC126,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/17/18,CB,HD134,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/8/18,"MO, PB",HH87,ACESAU,Acer saccharum,2,2,,seedling,,,,,,,,,,,
5/7/18,"PB, SZ",HH90,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",I133,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/4/18,"BS, WO",II122,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/15/18,"SZ, WO",II130,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/23/18,CB,II131,ACESAU,Acer saccharum,25,4,17,,,,,,,,,,,,
5/10/18,"PB, WO",II136,ACESAU,Acer saccharum,30,4,,,,,,,,,,,,,
5/7/18,"PB, SZ",II90,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,JLL,J133,ACESAU,Acer saccharum,5,5,,,,,,,,,,,,,
5/4/18,"JLL, PB",JJ114,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/4/18,"JLL, PB",JJ115,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",K116,ACESAU,Acer saccharum,3,2,,Acer nigrum?,,,,,,,,,,,
5/2/18,JLL,K130,ACESAU,Acer saccharum,5,5,,,,,,,,,,,,,
5/2/18,"WS, JLL",K137,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
