Date,Sampler,Plot ID Number,6-Letter Code,Species Name,Category: Seedling(S)/ Sapling(U)/ Shrub(SH),Sapling Category:< 5cm or > 5cm ,# Stems ,NOTES,,,,,,,
6/6/18,JLL,KK80,ACENEG,Acer negundo,S,,2,,,,,,,,
6/6/18,JLL,KK80,ACENEG,Acer negundo,U,<5,1,,,,,,,,
5/22/18,JLL,PP92,ACENEG,Acer negundo,U,<5,3,,,,,,,,
5/16/18,"BS, WS",SS141,ACENEG,Acer negundo,U,<5,4,,,,,,,,
5/10/18,"PB, WO",TT133,ACENEG,Acer negundo,S,,1,,,,,,,,
6/5/18,"JL, SL  ",BB128,ACESAI,Acer saccharinum,S,,3,,,,,,,,
5/3/18,"JLL, PB",A117,ACESAU,Acer saccharum,S,,3,,,,,,,,
5/3/18,"JLL, PB",AA114,ACESAU,Acer saccharum,S,,2,maybe dead due to fire,,,,,,,
5/3/18,"JLL, PB",AA116,ACESAU,Acer saccharum,S,,3,,,,,,,,
5/3/18,"PB, JLL",AA118,ACESAU,Acer saccharum,S,,10,,,,,,,,
5/3/18,"WO, BS",AA129,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/3/18,"WO, BS",AA129,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/3/18,"JLL, PB",BB116,ACESAU,Acer saccharum,S,,2,part of cut stumps,,,,,,,
5/3/18,"PB, JLL",BB118,ACESAU,Acer saccharum,S,,5,,,,,,,,
5/3/18,"PB, JLL",BB121,ACESAU,Acer saccharum,S,,17,,,,,,,,
5/4/18,"JLL, PB",CC109,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/3/18,"PB, JLL",DD114,ACESAU,Acer saccharum,U,<5,2,,,,,,,,
5/22/18,CB,DD78,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/4/18,"JLL, PB",EE106,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/18/18,"CB, PB, WO",EE128,ACESAU,Acer saccharum,S,,2,,,,,,,,
5/10/18,"BS, SL",EE140,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/22/18,CB,EE78,ACESAU,Acer saccharum,S,,4,,,,,,,,
5/2/18,JLL,F134,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/4/18,"BS, WO",GG121,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/4/18,"BS, WO",GG121,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/7/18,"PB, SZ",GG92,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/22/18,CB,HH79,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/8/18,"MO, PB",HH85,ACESAU,Acer saccharum,U,<5,3,,,,,,,,
5/8/18,"MO, PB",HH87,ACESAU,Acer saccharum,S,,5,,,,,,,,
5/8/18,"MO, PB",HH87,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
4/30/18,"CB, PB",I107,ACESAU,Acer saccharum,S,,1,,,,,,,,
4/30/18,"CB, PB",I107,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/4/18,"BS, WO",II122,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/10/18,"PB, WO",II136,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/7/18,"PB, SZ",II90,ACESAU,Acer saccharum,U,<5,12,,,,,,,,
5/8/18,"MO, PB",JJ93,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
4/30/18,"CB, PB",K107,ACESAU,Acer saccharum,U,<5,1,black maple,,,,,,,
4/30/18,"CB, PB",K109,ACESAU,Acer saccharum,U,<5,2,,,,,,,,
6/5/18,"MO, SZ",KK131,ACESAU,Acer saccharum,S,<5,1,,,,,,,,
6/5/18,"MO, SZ",KK131,ACESAU,Acer saccharum,S,<5,1,,,,,,,,
6/6/18,JLL,KK80,ACESAU,Acer saccharum,S,,54,,,,,,,,
6/6/18,JLL,KK80,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/1/18,"CB, PB",L111,ACESAU,Acer saccharum,S,,3,black maple?,,,,,,,
5/1/18,"CB, PB",L111,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/1/18,"WS, JLL",L120,ACESAU,Acer saccharum,U,<5,10,,,,,,,,
5/4/18,"BS, WO",LL119,ACESAU,Acer saccharum,S,,2,,,,,,,,
5/16/18,"BS, WS",LL141,ACESAU,Acer saccharum,S,,3,,,,,,,,
4/30/18,"WS, JLL",N113,ACESAU,Acer saccharum,U,<5,1,black maple,,,,,,,
5/1/18,"WS, JLL",N116,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/2/18,JLL,N128,ACESAU,Acer saccharum,S,,2,,,,,,,,
5/22/18,JLL,NN140,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/1/18,"CB, PB",O109,ACESAU,Acer saccharum,S,,1,,,,,,,,
4/30/18,"WS, JLL",O112,ACESAU,Acer saccharum,U,<5,2,,,,,,,,
5/2/18,"WS, JLL",O134,ACESAU,Acer saccharum,S,<5,14,,,,,,,,
5/4/18,"JLL, PB",OO116,ACESAU,Acer saccharum,S,,3,,,,,,,,
5/16/18,"BS, WS",PP143,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/1/18,"CB, PB",Q110,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/2/18,"WS, JLL",Q132,ACESAU,Acer saccharum,S,<5,5,,,,,,,,
5/2/18,"WS, JLL",Q135,ACESAU,Acer saccharum,S,<5,7,,,,,,,,
5/9/18,"JLL, WS",QQ131,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/16/18,"BS, WS",QQ139,ACESAU,Acer saccharum,S,,40,,,,,,,,
5/1/18,"CB, PB",R109,ACESAU,Acer saccharum,U,<5,3,,,,,,,,
5/17/18,"BS, WS",RR139,ACESAU,Acer saccharum,S,,13,,,,,,,,
5/16/18,"BS, WS",RR142,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/2/18,"CB, PB",S111,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/1/18,"WS, JLL",S126,ACESAU,Acer saccharum,S ,,1,,,,,,,,
5/2/18,"WS, JLL",S134,ACESAU,Acer saccharum,S,<5,8,,,,,,,,
5/8/18,"JLL, SML",T75,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/10/18,"PB, WO",TT132,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/10/18,"PB, WO",TT132,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/1/18,"CB, PB",U107,ACESAU,Acer saccharum,U,<5,10,,,,,,,,
5/2/18,"CB, PB",U110,ACESAU,Acer saccharum,S,,4,,,,,,,,
5/11/18,PB,UU132,ACESAU,Acer saccharum,U,>5,1,,,,,,,,
5/2/18,"CB, PB",W112,ACESAU,Acer saccharum,S,,1,resprout,,,,,,,
5/2/18,"BS, WO",W128,ACESAU,Acer saccharum,S,,8,,,,,,,,
5/3/18,"PB, JLL",X118,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/3/18,"WO, BS",X121,ACESAU,Acer saccharum,S,,6,Previous label: Y121,,,,,,,
5/3/18,"WO, BS",X121,ACESAU,Acer saccharum,U,<5,1,Previous label: Y122,,,,,,,
5/8/18,"JLL, SML",X76,ACESAU,Acer saccharum,U,<5,1,,,,,,,,
5/18/18,"CB, PB, WO",Y135,ACESAU,Acer saccharum,S,,1,,,,,,,,
5/3/18,"WO, BS",Z122,ACESAU,Acer saccharum,S,,11,,,,,,,,
5/3/18,"WO, BS",Z128,ACESAU,Acer saccharum,U,>5,2,,,,,,,,
4/30/18,"CB, PB",I109,Acer sp.,Acer sp.,U,<5,1,,,,,,,,
5/8/18,"JLL, SML",S72,Aesculus sp.,Aesculus sp.,S,,1,,,,,,,,
5/8/18,"JLL, SML",W87,Aesculus sp.,Aesculus sp.,S,,2,,,,,,,,
5/19/18,CB,QQ111,AILALT,Ailanthus altissima,S,,1,,,,,,,,
5/2/18,"BS, WO",T127,ASITRI,Asimina triloba ,S,,14,introduced and accessioned ,,,,,,,
5/1/18,"WO, SZ",C120,CARCOR,Carya cordiformis,U,<5,1,,,,,,,,
5/4/18,"BS, WO",CC123,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/18/18,"CB, PB, WO",EE126,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/18/18,"CB, PB, WO",EE128,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/22/18,CB,EE77,CARCOR,Carya cordiformis,U,<5,1,,,,,,,,
5/4/18,"JLL, PB",JJ114,CARCOR,Carya cordiformis,U,<5,1,"3 shoots from base of Carya - 4 winged Euonymus are in plot - dead - 2 saplings ash dead, 7 seedlings dead  - all from cut stump - resprouts",,,,,,,
5/2/18,JLL,K130,CARCOR,Carya cordiformis,S,,3,,,,,,,,
5/1/18,"WS, JLL",L120,CARCOR,Carya cordiformis,U,<5,1,,,,,,,,
5/7/18,"JLL, WS",LL104,CARCOR,Carya cordiformis,S,,2,,,,,,,,
5/9/18,"JLL, WS",PP134,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/7/18,"JLL, WS",RR113,CARCOR,Carya cordiformis,U,<5,1,,,,,,,,
5/23/18,CB,RR134,CARCOR,Carya cordiformis,S,,2,,,,,,,,
5/15/18,"SZ, WO",YY137,CARCOR,Carya cordiformis,U,<5,1,,,,,,,,
5/22/18,JLL,Z108,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/3/18,"PB, JLL",Z118,CARCOR,Carya cordiformis,S,,1,,,,,,,,
5/15/18,"CB, PB",ZZ130,CARCOR,Carya cordiformis,U,>5,1,,,,,,,,
5/8/18,"KC, WO",T88,CAROVT,Carya ovata,U,>5,1,,,,,,,,
5/7/18,"SML, WO",U95,CAROVT,Carya ovata,U,>5,1,,,,,,,,
5/2/18,"BS, WO",A131,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/9/18,"BS, SML",BB144,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/8/18,"MO, PB",DD86,CELOCC,Celtis occidentalis,U,<5,1,,,,,,,,
