plot,code,species,cover,freq,native,physiognomy,habit
A-107,ASCSYR,Asclepias syriaca,1,1,Native,Forb,Forb
A-107,BROINE,Bromus inermis ,6,1,Alien,Grass,Graminoid
A-107,CIRARV,Cirsium arvense,10,1,Alien,Forb,Forb
A-107,CONARV,Convolvulus arvensis,16,1,Alien,Forb,Forb
A-107,POAPRA,Poa pratensis,100,1,Alien,Grass,Graminoid
A-116,ALLPET,Alliaria petiolata ,25,1,Alien,Forb,Forb
A-116,ASTER SP,Aster species,5,1,-,Forb,Forb
A-116,CAREX SP,Carex species,5,1,-,Sedge,Graminoid
A-116,DUCIND,Duchesnea indica ,5,1,Alien,Forb,Forb
A-116,GEUCAN,Geum canadense,7,1,Native,Forb,Forb
A-116,PARQUI,Parthenocissus quinquefolia,10,1,Native,Woody vine,Woody
A-116,PHAARU,Phalaris arundinacea,5,1,Alien,Grass,Graminoid
A-116,POAPRA,Poa pratensis,10,1,Alien,Grass,Graminoid
A-116,PRUVLA,Prunella vulgaris lanceolata,5,1,Native,Forb,Forb
A-116,RHURAD,Rhus radicans,35,1,Native,Woody vine,Woody
A-121,CAREX SP,Carex species,2,1,-,Sedge,Graminoid
A-121,GEUCAN,Geum canadense,5,1,Native,Forb,Forb
A-121,PARQUI,Parthenocissus quinquefolia,7,1,Native,Woody vine,Woody
A-121,SOLULM,Solidago ulmifolia,5,1,Native,Forb,Forb
A-124,ALLPET,Alliaria petiolata,3,1,Alien,Forb,Forb
A-124,CXPENS,Carex pensylvanica,25,1,Native,Sedge,Graminoid
A-124,EUPRUG,Eupatorium rugosum,3,1,Native,Forb,Forb
A-124,HACVIR,Hackelia virginiana,5,1,Native,Forb,Forb
A-124,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
A-124,SANCAD,Sanguinaria canadensis,1,1,Native,Forb,Forb
A-124,TAROFF,Taraxacum officinale,1,1,Alien,Forb,Forb
A-126,ALLPET,Alliaria petiolata,1,1,Alien,Forb,Forb
A-126,ASTLAT,Aster lateriflorus,5,1,Native,Forb,Forb
A-126,ASTSHO,Aster shortii,1,1,Native,Forb,Forb
A-126,CAREX SP,Carex species,30,1,-,Sedge,Graminoid
A-126,CIRLUC,Circaea lutetiana canadensis,12,1,Native,Forb,Forb
A-126,EUPRUG,Eupatorium rugosum,15,1,Native,Forb,Forb
A-126,GALTRF,Galium triflorum,3,1,Native,Forb,Forb
A-126,GEUCAN,Geum canadense,6,1,Native,Forb,Forb
A-126,HACVIR,Hackelia virginiana,12,1,Native,Forb,Forb
A-126,IMPPAL,Impatiens pallida,3,1,Native,Forb,Forb
A-126,OXASTR,Oxalis stricta,2,1,Native,Forb,Forb
A-126,POLGVI,Polygonum virginianum,4,1,Native,Forb,Forb
A-128,AGRGRY,Agrimonia gryposepala,10,1,Native,Forb,Forb
A-128,ASTSHO,Aster shortii,4,1,Native,Forb,Forb
A-128,CIRLUC,Circaea lutetiana canadensis,25,1,Native,Forb,Forb
A-128,EUPRUG,Eupatorium rugosum,40,1,Native,Forb,Forb
A-128,GEUCAN,Geum canadense,3,1,Native,Forb,Forb
A-128,IMPPAL,Impatiens pallida,3,1,Native,Forb,Forb
A-128,OXASTR,Oxalis stricta,2,1,Native,Forb,Forb
A-128,SMIRAC,Smilacina racemosa,6,1,Native,Forb,Forb
A-131,ARITRI,Arisaema triphyllum,2,1,Native,Forb,Forb
A-131,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
A-131,RHURAD,Rhus radicans,5,1,Native,Woody vine,Woody
A-131,VITRIP,Vitis riparia,2,1,Native,Woody vine,Woody
A-133,ARITRI,Arisaema triphyllum,5,1,Native,Forb,Forb
A-133,CIRLUC,Circaea lutetiana canadensis,10,1,Native,Forb,Forb
A-133,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
A-133,RHACAT,Rhamnus cathartica,5,1,Alien,Understory tree,Woody
A-135,ARITRI,Arisaema triphyllum,10,1,Native,Forb,Forb
A-135,CIRLUC,Circaea lutetiana canadensis,40,1,Native,Forb,Forb
A-135,LONMAA,Lonicera maackii,5,1,Alien,Shrub,Woody
A-135,PARQUI,Parthenocissus quinquefolia,25,1,Native,Woody vine,Woody
A-135,RHACAT,Rhamnus cathartica,5,1,Alien,Understory tree,Woody
A-137,ARITRI,Arisaema triphyllum,1,1,Native,Forb,Forb
A-137,CERCAN,Cercis canadensis,2,1,Native,Tree,Woody
A-137,LONMAA,Lonicera maackii,50,1,Alien,Shrub,Woody
A-137,PARQUI,Parthenocissus quinquefolia,2,1,Native,Woody vine,Woody
A-137,RHACAT,Rhamnus cathartica,10,1,Alien,Understory tree,Woody
AA-114,ACENIG,Acer nigrum,2,1,Native,Tree,Woody
AA-114,ASTER SP,Aster species,2,1,-,Forb,Forb
AA-114,CORRAC,Cornus racemosa,12,1,Native,Shrub,Woody
AA-114,DACGLO,Dactylis glomerata,2,1,Alien,Grass,Graminoid
AA-114,EUPRUG,Eupatorium rugosum,2,1,Native,Forb,Forb
AA-114,FRAAMA,Fraxinus americana,6,1,Native,Tree,Woody
AA-114,FRAVIR,Fragaria virginiana,5,1,Native,Forb,Forb
AA-114,HEPACU,Hepatica acutiloba,6,1,Native,Forb,Forb
AA-114,LONMAA,Lonicera maackii,65,1,Alien,Shrub,Woody
AA-114,OXASTR,Oxalis stricta,1,1,Native,Forb,Forb
AA-114,PARQUI,Parthenocissus quinquefolia,8,1,Native,Woody vine,Woody
AA-114,RHACAT,Rhamnus cathartica,8,1,Alien,Understory tree,Woody
AA-114,SANCAD,Sanguinaria canadensis,6,1,Native,Forb,Forb
AA-116,ACENIG,Acer nigrum,8,1,Native,Tree,Woody
AA-116,FRAAMA,Fraxinus americana,5,1,Native,Tree,Woody
AA-116,PODPEL,Podophyllum peltatum,6,1,Native,Forb,Forb
AA-116,VITRIP,Vitis riparia,6,1,Native,Woody vine,Woody
AA-117,ACENIG,Acer nigrum,8,1,Native,Tree,Woody
AA-117,FRAAMA,Fraxinus americana,3,1,Native,Tree,Woody
AA-117,GERMAC,Geranium maculatum,5,1,Native,Forb,Forb
AA-117,SANCAD,Sanguinaria canadensis,6,1,Native,Forb,Forb
AA-117,SMIRAC,Smilacina racemosa,6,1,Native,Forb,Forb
AA-118,ACENIG,Acer nigrum,12,1,Native,Tree,Woody
AA-118,SMIRAC,Smilacina racemosa,8,1,Native,Forb,Forb
AA-125,ASACAN,Asarum canadense,25,1,Native,Forb,Forb
AA-125,PARQUI,Parthenocissus quinquefolia,25,1,Native,Woody vine,Woody
AA-129,ALLPET,Alliaria petiolata,2,1,Alien,Forb,Forb
AA-129,CIRLUC,Circaea lutetiana canadensis,15,1,Native,Forb,Forb
AA-129,IMPPAL,Impatiens pallida,20,1,Native,Forb,Forb
AA-129,PARQUI,Parthenocissus quinquefolia,2,1,Native,Woody vine,Woody
Z-76,ASTSAD,Aster sagittifolius drummondii,1,1,Native,Forb,Forb
Z-76,CIRARV,Cirsium arvense,4,1,Alien,Forb,Forb
Z-76,CIRLUC,Circaea lutetiana canadensis,2,1,Native,Forb,Forb
Z-76,DACGLO,Dactylis glomerata,2,1,Alien,Grass,Graminoid
Z-76,DAUCAR,Daucus carota,8,1,Alien,Forb,Forb
Z-76,ERIANS,Erigeron annuus,3,1,Native,Forb,Forb
Z-76,GALTRF,Galium triflorum,4,1,Native,Forb,Forb
Z-76,GEUCAN,Geum canadense,1,1,Native,Forb,Forb
Z-76,LONTAT,Lonicera tatarica,2,1,Alien,Shrub,Woody
Z-76,PARQUI,Parthenocissus quinquefolia,8,1,Native,Woody vine,Woody
Z-76,RHACAT,Rhamnus cathartica,25,1,Alien,Understory tree,Woody
Z-76,SONASP,Sonchus asper,1,1,Alien,Forb,Forb
Z-76,VITRIP,Vitis riparia,25,1,Native,Woody vine,Woody
AA-79,ALLPET,Alliaria petiolata,2,1,Alien,Forb,Forb
AA-79,ARITRI,Arisaema triphyllum,3,1,Native,Forb,Forb
AA-79,CIRLUC,Circaea lutetiana canadensis,2,1,Native,Forb,Forb
AA-79,LONTAT,Lonicera tatarica,5,1,Alien,Shrub,Woody
AA-79,RHURAD,Rhus radicans,2,1,Native,Woody vine,Woody
Z-86,ARITRI,Arisaema triphyllum,3,1,Native,Forb,Forb
Z-86,CIRLUC,Circaea lutetiana canadensis,6,1,Native,Forb,Forb
Z-86,PARQUI,Parthenocissus quinquefolia,25,1,Native,Woody vine,Woody
Z-86,RHACAT,Rhamnus cathartica,4,1,Alien,Understory tree,Woody
AA-95,ARITRI,Arisaema triphyllum ,2,1,Native,Forb,Forb
AA-95,CIRLUC,Circaea lutetiana canadensis ,2,1,Native,Forb,Forb
AA-95,GERMAC,Geranium maculatum ,10,1,Native,Forb,Forb
AA-95,HYSPAT,Hystrix patula ,10,1,Native,Grass,Graminoid
AA-95,PARQUI,Parthenocissus quinquefolia ,5,1,Native,Woody vine,Woody
AA-95,SMIRAC,Smilacina racemosa ,15,1,Native,Forb,Forb
AA-95,ULMAME,Ulmus americana ,5,1,Native,Tree,Woody
AY-130,PARQUI,Parthenocissus quinquefolia,1,1,Native,Woody vine,Woody
AX-131,CXVULP,Carex vulpinoidea,5,1,Native,Sedge,Graminoid
AX-131,PHAARU,Phalaris arundinacea,10,1,Alien,Grass,Graminoid
AX-131,POAPRA,Poa pratensis,90,1,Alien,Grass,Graminoid
AX-132,CIRARV,Cirsium arvense,2,1,Alien,Forb,Forb
AX-132,CORVAR,Coronilla varia ,100,1,Alien,Forb,Forb
AY-122,ASTER SP,Aster species,4,1,-,Forb,Forb
AY-122,CORVAR,Coronilla varia ,8,1,Alien,Forb,Forb
AY-122,CRATAEGUS SP,Crataegus species,12,1,-,Tree,Woody
AY-122,DACGLO,Dactylis glomerata ,12,1,Alien,Grass,Graminoid
AY-122,DAUCAR,Daucus carota ,18,1,Alien,Forb,Forb
AY-122,ERIANS,Erigeron annuus,4,1,Native,Forb,Forb
AY-122,MONFIS,Monarda fistulosa,6,1,Native,Forb,Forb
AY-122,OXASTR,Oxalis stricta,2,1,Native,Forb,Forb
AY-122,PLALAN,Plantago lanceolata ,10,1,Alien,Forb,Forb
AY-122,POAPRA,Poa pratensis ,50,1,Alien,Grass,Graminoid
AY-122,PRUSER,Prunus serotina,15,1,Native,Tree,Woody
AY-124,AGRIMONIA SP,Agrimonia species,4,1,-,Grass,Graminoid
AY-124,ASTER SP,Aster species,2,1,-,Forb,Forb
AY-124,FESELA,Festuca elatior ,35,1,Alien,Grass,Graminoid
AY-124,MELLOF,Melilotus officinalis ,2,1,Alien,Forb,Forb
AY-124,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
AY-124,PLALAN,Plantago lanceolata ,6,1,Alien,Forb,Forb
AY-124,POAPRA,Poa pratensis ,50,1,Alien,Grass,Graminoid
AY-124,RHURAD,Rhus radicans,12,1,Native,Woody vine,Woody
AY-124,ROSMUL,Rosa multiflora ,3,1,Alien,Shrub,Woody
AY-124,TRIPRA,Trifolium pratense ,3,1,Alien,Forb,Forb
AY-127,AGRALA,Agostis alba ,12,1,Alien,Grass,Graminoid
AY-127,ASTER SP,Aster species,8,1,-,Forb,Forb
AY-127,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
AY-127,PHAARU,Phalaris arundinacea,6,1,Alien,Grass,Graminoid
AY-127,POAPRA,Poa pratensis ,60,1,Alien,Grass,Graminoid
AZ -138,ASTSAS,Aster sagittifolius,5,1,Native,Forb,Forb
AZ -138,BROINE,Bromus inermis ,3,1,Alien,Grass,Graminoid
AZ -138,CONARV,Convolvulus arvensis,2,1,Alien,Forb,Forb
AZ -138,CORVAR,Coronilla varia ,90,1,Alien,Forb,Forb
AZ -138,ROSCAR,Rosa carolina,4,1,Native,Shrub,Woody
AY-117,PARQUI,Parthenocissus quinquefolia,1,1,Native,Woody vine,Woody
AY-117,SALINT,Salix interior,100,1,Native,Shrub,Woody
AY-117,TYPANG,Typha angustifolia,20,1,Native,Forb,Forb
AZ-133,ARITRI,Arisaema triphyllum,1,1,Native,Forb,Forb
AZ-133,LONMAA,Lonicera maackii,2,1,Alien,Shrub,Woody
AZ-133,RHACAT,Rhamnus cathartica,70,1,Alien,Understory tree,Woody
AZ-133,SMIRAC,Smilacina racemosa,2,1,Native,Forb,Forb
AZ-133,ULMRUB,Ulmus rubra,1,1,Native,Tree,Woody
B-109,ACHMIL,Achillea millefolium ,1,1,Alien,Forb,Forb
B-109,CIRARV,Cirsium arvense,4,1,Alien,Forb,Forb
B-109,PARQUI,Parthenocissus quinquefolia,,1,Native,Woody vine,Woody
B-109,POAPRA,Poa pratensis,,1,Alien,Grass,Graminoid
B-115,CONSEP,Convolvulus sepium,1,1,Native,Forb,Forb
B-115,PARQUI,Parthenocissus quinquefolia,1,1,Native,Woody vine,Woody
B-115,POAPRA,Poa pratensis ,90,1,Alien,Grass,Graminoid
B-115,RHURAD,Rhus radicans,10,1,Native,Woody vine,Woody
B-115,RHUTYP,Rhus typhina,4,1,Native,Tree,Woody
B-115,ROSMUL,Rosa multiflora ,5,1,Alien,Shrub,Woody
B-127,ARITRI,Arisaema triphyllum,1,1,Native,Forb,Forb
B-127,ASTSAD,Aster sagittifolius drummondii,1,1,Native,Forb,Forb
B-127,CIRLUC,Circaea lutetiana canadensis,8,1,Native,Forb,Forb
B-127,GALTRF,Galium triflorum,1,1,Native,Forb,Forb
B-127,IMPPAL,Impatiens pallida,4,1,Native,Forb,Forb
B-127,OSTVIR,Ostrya virginiana,1,1,Native,Tree,Woody
B-127,POTNOR,Potentilla norvegica,1,1,Native,Forb,Forb
B-127,RHURAD,Rhus radicans,1,1,Native,Woody vine,Woody
B-127,SMIRAC,Smilacina racemosa,6,1,Native,Forb,Forb
B-127,SOLFLE,Solidago flexicaulis,1,1,Native,Forb,Forb
B-127,THADIO,Thalictrum dioicum,15,1,Native,Forb,Forb
B-128,CAMAME,Campanula americana,20,1,Native,Forb,Forb
B-128,EUPRUG,Eupatorium rugosum,3,1,Native,Forb,Forb
B-128,GALTRF,Galium triflorum,3,1,Native,Forb,Forb
B-128,GEUCAN,Geum canadense,4,1,Native,Forb,Forb
B-128,IMPPAL,Impatiens pallida,1,1,Native,Forb,Forb
B-128,OXASTR,Oxalis stricta,1,1,Native,Forb,Forb
B-128,RUBALL,Rubus allegheniensis,60,1,Native,Shrub,Woody
B-138,ALLSTE,Allium stellatum,2,1,Native,Forb,Forb
B-138,BROINE,Bromus inermis ,70,1,Alien,Grass,Graminoid
B-138,CHRLEP,Chrysanthemum leucanthemum pinnatifidum,3,1,Alien,Forb,Forb
B-138,CONARV,Convolvulus arvensis,2,1,Alien,Forb,Forb
B-138,DACGLO,Dactylis glomerata,5,1,Alien,Grass,Graminoid
B-138,DAUCAR,Daucus carota,1,1,Alien,Forb,Forb
B-138,PARQUI,Parthenocissus quinquefolia,3,1,Native,Woody vine,Woody
B-138,POAPRA,Poa pratensis,20,1,Alien,Grass,Graminoid
B-138,POTREC,Potentilla recta ,4,1,Alien,Forb,Forb
B-138,PRUSER,Prunus serotina,1,1,Native,Tree,Woody
B-138,RHUGLA,Rhus glabra,3,1,Native,Shrub,Woody
BB-106,AGRGRY,Agrimonia gryposepala ,2,1,Native,Forb,Forb
BB-106,DACGLO,Dactylis glomerata ,70,1,Alien,Grass,Graminoid
BB-106,FRAVIR,Fragaria virginiana ,2,1,Native,Forb,Forb
BB-106,GEUCAN,Geum canadense ,2,1,Native,Forb,Forb
BB-106,OXASTR,Oxalis stricta ,2,1,Native,Forb,Forb
BB-106,POAPRA,Poa pratensis ,10,1,Alien,Grass,Graminoid
BB-106,PRUSER,Prunus serotina ,5,1,Native,Tree,Woody
BB-106,RHURAD,Rhus radicans ,15,1,Native,Woody vine,Woody
BB-106,ULMAME,Ulmus americana ,5,1,Native,Tree,Woody
