Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
A-107 ,NONE,NONE,-,-,-,-,,,
A-116,SALINT,Salix interior,15,8,Native,S,,,
A-121,PTETRM,Ptelea trifoliata ,2,2,Native,UT,,,
A-121,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
A-121,RUBOCC,Rubus occidentalis,1,,Native,S,,,
A-121,SMILAX SP,Smilax species,1,,-,-,,,
A-124,PRUSER,Prunus serotina,3,,Native,TS,,,
A-126,NONE,NONE,-,-,-,-,,,
A-128,RUBOCC,Rubus occidentalis,2,,Native,S,,,
A-131,FRAAMA,Fraxinus americana,,2,Native,TS,,,
A-131,LONMAA,Lonicera maackii,,1,Alien,S,,,
A-131,RHACAT,Rhamnus cathartica,,5,Alien,UT,,,
A-131,VIBOPU,Viburnum opulus,,3,Alien,S,,,
A-133,FRAAMA,Fraxinus americana,1,,Native,TS,,,
A-133,LONMAA,Lonicera maackii,10,,Alien,S,,,
A-133,RHACAT,Rhamnus cathartica,7,,Alien,UT,,,
A-135,LONMAA,Lonicera maackii,5,1,Alien,S,,,
A-135,RHACAT,Rhamnus cathartica,,3,Alien,UT,,,
A-137,CERCAN,Cercis canadensis,1,,Native,S,,,
A-137,LONMAA,Lonicera maackii,6,,Alien,S,,,
A-137,ULMAME,Ulmus americana,1,,Native,TS,,,
AA-114,LONMAA,Lonicera maackii,9,,Alien,S,,,
AA-114,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
AA-114,ROSMUL,Rosa multiflora,1,,Alien,S,,,
AA-116,ACENIG,Acer nigrum,1,,Native,TS,,,
AA-116,PRUSER,Prunus serotina,,1,Native,TS,,,
AA-117,ACENIG,Acer nigrum,7,,Native,TS,,,
AA-117,OSTVIR,Ostrya virginiana,,1,Native,UT,,,
AA-118,ACENIG,Acer nigrum,4,,Native,TS,,,
AA-118,TILAME,Tilia americana,,1,Native,TS,,,
AA-125,NONE,NONE,-,-,-,-,,,
AA-129,ACENIG,Acer nigrum,3,,Native,TS,,,
Z-76,RHACAT,Rhamnus cathartica,9,,Alien,UT,,,
AA-79,POPALB,Populus alba,2,4,Alien,TS,,,
Z-86,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
AA-95,PRUVIR,Prunus virginiana ,,,Native,S,,,
AA-95,ULMAME,Ulmus americana ,,1,Native,TS,,,
AY-130,LONMAA,Lonicera maackii,6,,Alien,S,,,
AY-130,RHACAT,Rhamnus cathartica,10,,Alien,UT,,,
