Plot ID Number,6-Letter Code,Species Name,Alive dbh (cm),Dead dbh (cm),Native/Alien,,
A-107,NONE,NONE,-,-,-,,
A-116,SALNIG,Salix nigra,14.22,,Native,,
A-121,OSTVIR,Ostrya virginiana,17.27,,Native,,
A-121,OSTVIR,Ostrya virginiana,18.80,,Native,,
A-121,RHACAT,Rhamnus cathartica,11.94,,Alien,,
A-124,ACENIG,Acer nigrum,22.35,,Native,,
A-124,OSTVIR,Ostrya virginiana,15.75,,Native,,
A-124,PRUSER,Prunus serotina,12.45,,Native,,
A-124,PRUSER,Prunus serotina,14.99,,Native,,
A-124,PRUSER,Prunus serotina,22.35,,Native,,
A-124,TILAME,Tilia americana,18.29,,Native,,
A-126,TILAME,Tilia americana,13.46,,Native,,
A-126,TILAME,Tilia americana,14.73,,Native,,
A-126,TILAME,Tilia americana,19.81,,Native,,
A-126,TILAME,Tilia americana,20.32,,Native,,
A-126,TILAME,Tilia americana,21.84,,Native,,
A-126,TILAME,Tilia americana,24.64,,Native,,
A-126,TILAME,Tilia americana,26.67,,Native,,
A-126,TILAME,Tilia americana,27.69,,Native,,
A-126,TILAME,Tilia americana,27.69,,Native,,
A-126,TILAME,Tilia americana,34.54,,Native,,
A-126,TILAME,Tilia americana,,11.4,Native,,
A-128,OSTVIR,Ostrya virginiana,11.43,,Native,,
A-128,OSTVIR,Ostrya virginiana,18.54,,Native,,
A-128,QUEALB,Quercus alba,85.34,,Native,,
A-128,TILAME,Tilia americana,17.78,,Native,,
A-131,FRAAMA,Fraxinus americana,10.41,,Native,,
A-131,FRAAMA,Fraxinus americana,10.41,,Native,,
A-131,FRAAMA,Fraxinus americana,17.27,,Native,,
A-131,FRAAMA,Fraxinus americana,17.27,,Native,,
A-131,FRAAMA,Fraxinus americana,27.94,,Native,,
A-131,FRAAMA,Fraxinus americana,27.94,,Native,,
A-131,FRAAMA,Fraxinus americana,32.26,,Native,,
A-131,FRAAMA,Fraxinus americana,32.26,,Native,,
A-131,FRAAMA,Fraxinus americana,34.29,,Native,,
A-131,FRAAMA,Fraxinus americana,34.29,,Native,,
A-131,FRAAMA,Fraxinus americana,39.37,,Native,,
A-131,FRAAMA,Fraxinus americana,39.37,,Native,,
A-131,FRAAMA,Fraxinus americana,43.18,,Native,,
A-131,FRAAMA,Fraxinus americana,43.18,,Native,,
A-131,OSTVIR,Ostrya virginiana,11.18,,Native,,
A-131,OSTVIR,Ostrya virginiana,11.18,,Native,,
A-131,OSTVIR,Ostrya virginiana,13.97,,Native,,
A-131,OSTVIR,Ostrya virginiana,13.97,,Native,,
A-131,QUEMAC,Quercus macrocarpa,62.74,,Native,,
A-131,QUEMAC,Quercus macrocarpa,62.74,,Native,,
A-131,QUEMAC,Quercus macrocarpa,67.82,,Native,,
A-131,QUEMAC,Quercus macrocarpa,67.82,,Native,,
A-131,TILAME,Tilia americana,12.19,,Native,,
A-131,TILAME,Tilia americana,12.19,,Native,,
A-131,TILAME,Tilia americana,12.95,,Native,,
A-131,TILAME,Tilia americana,12.95,,Native,,
A-133,ACENIG,Acer nigrum,11.18,,Native,,
A-133,PRUSER,Prunus serotina,23.62,,Native,,
A-133,QUERCUS SP,Quercus species,45.97,,-,,
A-133,QUERUB,Quercus rubra,59.94,,Native,,
A-133,ULMRUB,Ulmus rubra,,25.9,Native,,
A-133,UNIDENTIFIED SP,Unidentified species,27.43,,-,,
A-135,CARYA SP,Carya species,32.26,,-,,
A-135,CERCAN,Cercis canadensis,22.10,,Native,,
A-135,CRATAEGUS SP,Crataegus species,20.32,,-,,
A-135,CRATAEGUS SP,Crataegus species,,14.5,-,,
A-135,FRAAMA,Fraxinus americana,19.05,,Native,,
A-135,JUGNIG,Juglans nigra,18.29,,Native,,
A-135,RHACAT,Rhamnus cathartica,11.18,,Alien,,
A-135,RHACAT,Rhamnus cathartica,11.18,,Alien,,
A-135,RHACAT,Rhamnus cathartica,11.68,,Alien,,
A-135,RHACAT,Rhamnus cathartica,14.48,,Alien,,
A-135,RHACAT,Rhamnus cathartica,14.73,,Alien,,
A-135,RHACAT,Rhamnus cathartica,19.30,,Alien,,
A-135,UNIDENTIFIED SP,Unidentified species,,12.4,-,,
A-135,UNIDENTIFIED SP,Unidentified species,,13.0,-,,
A-137,CERCAN,Cercis canadensis,16.00,,Native,,
A-137,CERCAN,Cercis canadensis,16.51,,Native,,
A-137,CERCAN,Cercis canadensis,,22.6,Native,,
A-137,CERCAN,Cercis canadensis,,20.1,Native,,
A-137,MACPOM,Maclura pomifera,11.18,,Alien,,
A-137,MACPOM,Maclura pomifera,20.32,,Alien,,
A-137,MACPOM,Maclura pomifera,34.29,,Alien,,
A-137,MACPOM,Maclura pomifera,46.23,,Alien,,
A-137,RHACAT,Rhamnus cathartica,10.41,,Alien,,
A-137,RHACAT,Rhamnus cathartica,11.18,,Alien,,
A-137,ULMAME,Ulmus americana,10.41,,Native,,
A-137,ULMAME,Ulmus americana,11.68,,Native,,
A-137,ULMAME,Ulmus americana,12.19,,Native,,
A-137,ULMAME,Ulmus americana,17.53,,Native,,
A-137,ULMAME,Ulmus americana,,23.6,Native,,
A-137,ULMUS SP,Ulmus species ,31.24,,-,,
AA-114,ACENIG,Acer nigrum,45.97,,Native,,
AA-114,ACENIG,Acer nigrum,53.34,,Native,,
AA-114,OSTVIR,Ostrya virginiana,10.41,,Native,,
AA-114,QUERUB,Quercus rubra,12.45,,Native,,
AA-114,QUERUB,Quercus rubra,12.95,,Native,,
AA-114,QUERUB,Quercus rubra,15.49,,Native,,
AA-114,QUERUB,Quercus rubra,20.07,,Native,,
AA-114,QUERUB,Quercus rubra,28.96,,Native,,
AA-114,TILAME,Tilia americana,23.11,,Native,,
AA-116,ACENIG,Acer nigrum,16.51,,Native,,
AA-116,ACENIG,Acer nigrum,21.08,,Native,,
AA-116,ACENIG,Acer nigrum,27.18,,Native,,
AA-116,ACENIG,Acer nigrum,37.85,,Native,,
AA-116,ACENIG,Acer nigrum,50.29,,Native,,
AA-116,ACENIG,Acer nigrum,58.17,,Native,,
AA-116,OSTVIR,Ostrya virginiana,16.76,,Native,,
AA-116,QUEALB,Quercus alba,54.86,,Native,,
AA-116,QUERUB,Quercus rubra,49.02,,Native,,
AA-117,FRAAMA,Fraxinus americana,85.85,,Native,,
AA-117,FRAAMA,Fraxinus americana,,10.9,Native,,
AA-117,OSTVIR,Ostrya virginiana,10.41,,Native,,
AA-117,OSTVIR,Ostrya virginiana,14.22,,Native,,
AA-117,OSTVIR,Ostrya virginiana,17.02,,Native,,
AA-117,OSTVIR,Ostrya virginiana,19.81,,Native,,
AA-117,OSTVIR,Ostrya virginiana,20.83,,Native,,
AA-117,ULMAME,Ulmus americana,19.05,,Native,,
AA-118,ACENIG,Acer nigrum,16.51,,Native,,
AA-118,ACENIG,Acer nigrum,16.76,,Native,,
AA-118,OSTVIR,Ostrya virginiana,10.16,,Native,,
AA-118,OSTVIR,Ostrya virginiana,11.43,,Native,,
AA-118,OSTVIR,Ostrya virginiana,12.70,,Native,,
AA-118,OSTVIR,Ostrya virginiana,16.26,,Native,,
AA-118,OSTVIR,Ostrya virginiana,22.86,,Native,,
AA-118,QUEALB,Quercus alba,62.48,,Native,,
AA-118,TILAME,Tilia americana,29.72,,Native,,
