"","Acer","Acer_negundo","Acer_platanoides","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus","Aesculus_glabra","Alnus","Carya","Carya_cordiformis","Carya_ovata","Celtis_occidentalis","Cercis_canadensis","Cladrastis_lutea","Crataegus","Fraxinus","Fraxinus_americana","Fraxinus_pennsylvanica","Fraxinus_quadrangulata","Gleditsia_triacanthos","Gymnocladus_dioica","Juglans_cinerea","Juglans_nigra","Liriodendron_tulipifera","Maclura_pomifera","Malus","Morus_alba","Morus_rubra","Ostrya_virginiana","Picea","Pinus_banksiana","Pinus_resinosa","Populus","Populus_alba","Populus_deltoides","Populus_grandidentata","Prunus_serotina","Prunus_virginiana","Pseudotsuga_menziesii","Quercus","Quercus_alba","Quercus_bicolor","Quercus_ellipsoidalis","Quercus_macrocarpa","Quercus_palustris","Quercus_rubra","Rhamnus_cathartica","Rhus_typhina","Ribes","Robinia_pseudoacacia","Salix_nigra","Tilia_americana","Ulmus","Ulmus_americana","Ulmus_pumila","Ulmus_rubra"
"A121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820506851376098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179493148623902,0,0,0,0,0,0,0,0,0
"A124",0,0,0,0,0,0.254685050615035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126476405703832,0,0,0,0,0,0,0,0.448279084716924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170559458964209,0,0,0,0
"A126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587578090352162,0,0,0,0,0,0,0,0,0,0,0,0.902085503907544,0,0,0,0,0,0,0,0,0,0,0.0391566870572392,0,0,0,0
"A131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426393422759844,0,0,0,0,0,0,0,0,0,0,0,0.0200213469196508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533804943811512,0,0,0,0,0,0,0,0.0197802865089938,0,0,0,0
"A133",0,0,0,0,0,0.0175026383680993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781231415443772,0,0,0.295916321771377,0,0,0,0,0,0.503098925521913,0,0,0,0,0,0,0,0,0,0
"A135",0,0,0,0,0,0,0,0,0,0.272081335908296,0,0,0,0.127689319527378,0,0.107948703931577,0,0.0948767905648623,0,0,0,0,0,0.0874575760007138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309946274067173,0,0,0,0,0,0,0,0,0
"A137",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840419732799744,0,0,0,0,0,0,0,0,0,0,0,0.612278492132295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371033205858515,0,0,0,0,0,0.155169900838345,0.111406313163534,0,0
"AA116",0,0,0,0,0,0.60720095549856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193794226717864,0,0,0,0,0,0,0,0,0,0,0,0.207636841004311,0,0,0,0,0.165782780825343,0,0,0,0,0,0,0,0,0,0
"AA117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804635189800669,0,0,0,0,0,0,0,0,0,0,0,0.155745365607714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396194445916168,0,0
