"","dat.all.sorted"
"1",""
"2","??"
"3","Acalypha rhomboidea"
"4","Acer negundo"
"5","Acer nigrum"
"6","Acer platanoides"
"7","Acer rubrum"
"8","Acer saccharinum"
"9","Acer saccharum"
"10","Acer sp."
"11","Acer species"
"12","Achillea millefolium"
"13","Actaea pachypoda"
"14","Actinomeris alternifolia"
"15","Aesculus glabra"
"16","Aesculus sp."
"17","Aesculus species"
"18","Ageratina altissima"
"19","Agostis alba"
"20","Agrimonia gryposepala"
"21","Agrimonia pubescens"
"22","Agrimonia sp."
"23","Agrimonia species"
"24","Agropyron repens"
"25","Agrostis alba"
"26","Agrostis sp."
"27","Agrostis species"
"28","Agrostis stolonifera"
"29","Ailanthus altissima"
"30","Alisma subcordatum"
"31","Alliaria petiolata"
"32","Allium canadense"
"33","Allium cernuum"
"34","Allium sp."
"35","Allium stellatum"
"36","Allium tricoccum"
"37","Allium vineale"
"38","Alnus species"
"39","Amaranthus tuberculatus"
"40","Ambrosia artemisiifolia"
"41","Ambrosia artemisiifolia elatior"
"42","Ambrosia trifida"
"43","Amphicarpaea bracteata"
"44","Andropogon gerardii"
"45","Anemone canadensis"
"46","Anemone caroliniana"
"47","Anemone quinquefolia"
"48","Anemone species"
"49","Anemone virginiana"
"50","Anemonella thalictroides"
"51","Antennaria plantaginifolia"
"52","Apocynum cannabinum"
"53","Apocynum sibiricum"
"54","Aquilegia canadensis"
"55","Arctium minus"
"56","Arenaria lateriflora"
"57","Arisaema dracontium"
"58","Arisaema triphyllum"
"59","Arnoglossum atricipifolia"
"60","Aruncus dioicus pubescens"
"61","Asarum canadense"
"62","Asclepias exaltata"
"63","Asclepias incarnata"
"64","Asclepias meadii"
"65","Asclepias syriaca"
"66","Asclepias verticillata"
"67","Asimina species"
"68","Asimina triloba"
"69","Asplenium species"
"70","Aster lateriflorus"
"71","Aster pilosus"
"72","Aster sagittifolius"
"73","Aster sagittifolius drummondii"
"74","Aster shortii"
"75","Aster species"
"76","Athyrium filix-femina"
"77","Barbarea vulgaris"
"78","Berberis thunbergii"
"79","Bidens aristosa"
"80","Bidens cernua"
"81","Bidens connata"
"82","Bidens frondosa"
"83","Bidens sp."
"84","Bidens species"
"85","Bidens vulgata"
"86","Boehmeria cylindrica"
"87","Botrychium virginianum"
"88","Brassica sp."
"89","Brassicaceae family"
"90","Bromis inermis"
"91","Bromus inermis"
"92","Bromus japonicus"
"93","Bromus pubescens"
"94","Bromus sp."
"95","Bromus tectorum"
"96","Cacalia atriplicifolia"
"97","Calamagrostis canadensis"
"98","Camassia scilloides"
"99","Campanula americana"
"100","Campanulastrum americanum"
"101","Cardamine concatenata"
"102","Cardamine douglassii"
"103","Carex albursina"
"104","Carex blanda"
"105","Carex cephalophora"
"106","Carex cristatella"
"107","Carex granularis"
"108","Carex gravida"
"109","Carex grisea"
"110","Carex hirtifolia"
"111","Carex hIrtifolia"
"112","Carex jamesii"
"113","Carex lacustris"
"114","Carex muskingumensis"
"115","Carex pensylvanica"
"116","Carex rosea"
"117","Carex sp."
"118","Carex sparganioides"
"119","Carex species"
"120","Carex tribuloides"
"121","Carex vulpinoidea"
"122","Carex woodii"
"123","Carya cordiformis"
"124","Carya ovata"
"125","Carya sp."
"126","Carya species"
"127","Caulophyllum thalictroides"
"128","Celastrus orbiculatus"
"129","Celastrus scandens"
"130","Celtis occidentalis"
"131","Cerastium sp."
"132","Cerastium vulgatum"
"133","Cercis canadensis"
"134","Chenopodium album"
"135","Chenopodium sp."
"136","Chrysanthemum leucanthemum"
