Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
??,No suitable matches found.,,0,,,,,, ,
Acalypha rhomboidea,Acalypha rhomboidea,,1,Synonym,Acalypha virginica var. rhomboidea,(Raf.) Cooperr.,Euphorbiaceae,tpl, ,
Acer negundo,Acer negundo,,1,Accepted,Acer negundo,L.,Sapindaceae,tpl;tropicos;usda, ,
Acer nigrum,Acer nigrum,,1,Synonym,Acer saccharum subsp. nigrum,(F.Michx.) Desmarais,Sapindaceae,tpl, ,
Acer platanoides,Acer platanoides,,1,Accepted,Acer platanoides,L.,Sapindaceae,tpl;tropicos;usda, ,
Acer rubrum,Acer rubrum,,1,Accepted,Acer rubrum,L.,Sapindaceae,tpl;tropicos;usda, ,
Acer saccharinum,Acer saccharinum,,1,Accepted,Acer saccharinum,L.,Sapindaceae,tpl;tropicos;usda, ,
Acer saccharum,Acer saccharum,,1,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
Acer sp.,Acer,,0.9,Accepted,Acer,,Sapindaceae,tpl, ,
Acer species,Acer,,0.9,Accepted,Acer,,Sapindaceae,tpl, ,
Achillea millefolium,Achillea millefolium,,1,Accepted,Achillea millefolium,,Asteraceae,tpl, ,
Actaea pachypoda,Actaea pachypoda,,1,Accepted,Actaea pachypoda,Elliott,Ranunculaceae,tpl;tropicos;usda, ,
Actinomeris alternifolia,Actinomeris alternifolia,,1,Synonym,Verbesina alternifolia,(L.) Britton ex Kearney,Asteraceae,gcc, ,urn:lsid:compositae.org:names:DA9F7876-616E-41B8-9E50-B2ACDC944AFE
Aesculus glabra,Aesculus glabra,,1,Accepted,Aesculus glabra,Willd.,Sapindaceae,tpl;tropicos;usda, ,
Aesculus sp.,Aesculus,,0.9,Accepted,Aesculus,,Sapindaceae,tpl;usda, ,
Aesculus species,Aesculus,,0.9,Accepted,Aesculus,,Sapindaceae,tpl;usda, ,
Ageratina altissima,Ageratina altissima,,1,Accepted,Ageratina altissima,(L.) R.M.King & H.Rob.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7012A206-803B-402D-A008-440403B9B5ED
Agostis alba,Agrostis alba,,0.98,Synonym,Poa nemoralis,L.,Poaceae,tpl;tropicos, ,
Agrimonia gryposepala,Agrimonia gryposepala,,1,Accepted,Agrimonia gryposepala,Wallr.,Rosaceae,tpl;tropicos;usda, ,
Agrimonia pubescens,Agrimonia pubescens,,1,Accepted,Agrimonia pubescens,Wallr.,Rosaceae,tpl;tropicos;usda, ,
Agrimonia sp.,Agrimonia,,0.9,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Agrimonia species,Agrimonia,,0.9,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Agropyron repens,Agropyron repens,,1,Synonym,Elymus repens,(L.) Gould,Poaceae,tpl, ,
Agrostis alba,Agrostis alba,,1,Synonym,Poa nemoralis,L.,Poaceae,tpl;tropicos, ,
Agrostis sp.,Agrostis,,0.9,Accepted,Agrostis,,Poaceae,tpl;usda, ,
Agrostis species,Agrostis,,0.9,Accepted,Agrostis,,Poaceae,tpl;usda, ,
Agrostis stolonifera,Agrostis stolonifera,,1,Accepted,Agrostis stolonifera,L.,Poaceae,tpl;tropicos;usda, ,
Ailanthus altissima,Ailanthus altissima,,1,Accepted,Ailanthus altissima,(Mill.) Swingle,Simaroubaceae,tpl;tropicos;usda, ,
Alisma subcordatum,Alisma subcordatum,,1,Accepted,Alisma subcordatum,Raf.,Alismataceae,tpl;tropicos;usda, ,
Alliaria petiolata,Alliaria petiolata,,1,Accepted,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,tpl, ,
Allium canadense,Allium canadense,,1,Accepted,Allium canadense,L.,Amaryllidaceae,tpl;tropicos;usda, ,
Allium cernuum,Allium cernuum,,1,Accepted,Allium cernuum,Roth,Amaryllidaceae,tpl;tropicos;usda, ,
Allium sp.,Allium,,0.9,Accepted,Allium,,Amaryllidaceae,tpl, ,
Allium stellatum,Allium stellatum,,1,Accepted,Allium stellatum,Nutt. ex Ker Gawl.,Amaryllidaceae,tpl;tropicos, ,
Allium tricoccum,Allium tricoccum,,1,Accepted,Allium tricoccum,Aiton,Amaryllidaceae,tpl;tropicos;usda, ,
Allium vineale,Allium vineale,,1,Accepted,Allium vineale,L.,Amaryllidaceae,tpl;tropicos;usda, ,
Alnus species,Alnus,,0.9,Accepted,Alnus,,Betulaceae,tpl, ,
