Raw_name,Cleaned_name_from_TNRS,2007_total_plots,2018_total_plots
,NA,0,0
??,,1,0
Acalypha rhomboidea,Acalypha virginica var. rhomboidea,3,3
Acer negundo,Acer negundo,27,7
Acer nigrum,Acer saccharum subsp. nigrum,190,0
Acer platanoides,Acer platanoides,3,3
Acer rubrum,Acer rubrum,1,1
Acer saccharinum,Acer saccharinum,8,5
Acer saccharum,Acer saccharum,3,107
Acer sp.,Acer,0,2
Acer species,Acer,2,0
Achillea millefolium,Achillea millefolium,6,4
Actaea pachypoda,Actaea pachypoda,0,2
Actinomeris alternifolia,Verbesina alternifolia,2,0
Aesculus glabra,Aesculus glabra,2,0
Aesculus sp.,Aesculus,0,2
Aesculus species,Aesculus,4,0
Ageratina altissima,Ageratina altissima,0,29
Agostis alba,Poa nemoralis,1,0
Agrimonia gryposepala,Agrimonia gryposepala,7,2
Agrimonia pubescens,Agrimonia pubescens,0,4
Agrimonia sp.,Agrimonia,0,8
Agrimonia species,Agrimonia,2,0
Agropyron repens,Elymus repens,9,0
Agrostis alba,Poa nemoralis,1,2
Agrostis sp.,Agrostis,0,1
Agrostis species,Agrostis,1,0
Agrostis stolonifera,Agrostis stolonifera,0,1
Ailanthus altissima,Ailanthus altissima,0,1
Alisma subcordatum,Alisma subcordatum,0,2
Alliaria petiolata,Alliaria petiolata,189,41
Allium canadense,Allium canadense,2,9
Allium cernuum,Allium cernuum,1,2
Allium sp.,Allium,0,1
Allium stellatum,Allium stellatum,1,0
Allium tricoccum,Allium tricoccum,3,2
Allium vineale,Allium vineale,0,2
Alnus species,Alnus,1,0
Ambrosia artemisiifolia,Ambrosia artemisiifolia,0,4
Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia,4,0
Ambrosia trifida,Ambrosia trifida,2,9
Amphicarpaea bracteata,,0,12
Andropogon gerardii,Andropogon gerardii,2,5
Anemone canadensis,Anemone canadensis,0,2
Anemone caroliniana,Anemone caroliniana,1,0
Anemone quinquefolia,Anemone quinquefolia,1,7
Anemone species,Anemone,1,0
Anemone virginiana,Anemone virginiana,3,4
Anemonella thalictroides,Anemonella thalictroides,8,7
Antennaria plantaginifolia,Antennaria plantaginifolia,0,1
Apocynum cannabinum,Apocynum cannabinum,0,2
Apocynum sibiricum,Apocynum cannabinum,0,1
Aquilegia canadensis,Aquilegia canadensis,1,0
Arctium minus,Arctium minus,1,2
Arenaria lateriflora,Moehringia lateriflora,1,0
Arisaema dracontium,Arisaema dracontium,1,4
Arisaema triphyllum,Arisaema triphyllum,81,28
Arnoglossum atricipifolia,,0,1
Aruncus dioicus pubescens,Aruncus dioicus var. pubescens,1,0
Asarum canadense,Asarum canadense,7,3
Asclepias exaltata,Asclepias exaltata,0,1
Asclepias incarnata,Asclepias incarnata,0,1
Asclepias meadii,Asclepias meadii,1,0
Asclepias syriaca,Asclepias syriaca,1,2
Asclepias verticillata,Asclepias verticillata,1,0
Asimina species,Asimina,1,0
Asimina triloba,Asimina triloba,0,1
Asplenium species,Asplenium,1,0
Aster lateriflorus,Symphyotrichum lateriflorum,29,0
Aster pilosus,Symphyotrichum pilosum,1,0
Aster sagittifolius drummondii,Symphyotrichum drummondii,10,0
Aster shortii,Symphyotrichum shortii,4,0
Aster species,Aster,20,0
Athyrium filix-femina,Athyrium filix-femina,0,1
Barbarea vulgaris,Barbarea vulgaris,2,1
Berberis thunbergii,Berberis thunbergii,1,2
Bidens aristosa,Bidens aristosa,0,1
Bidens cernua,Bidens cernua,1,0
Bidens connata,Bidens connata,0,1
Bidens frondosa,Bidens frondosa,3,7
Bidens sp.,,0,5
Bidens species,,1,0
Bidens vulgata,Bidens vulgata,0,1
Boehmeria cylindrica,Boehmeria cylindrica,5,2
Botrychium virginianum,Botrychium virginianum,0,1
Brassica sp.,Brassica,0,1
Brassicaceae family,Brassicaceae,1,0
Bromis inermis,Bromus inermis,1,0
Bromus inermis,Bromus inermis,17,5
Bromus japonicus,Bromus japonicus,0,1
Bromus pubescens,Bromus pubescens,0,1
Bromus sp.,Bromus,0,1
Bromus tectorum,Bromus tectorum,0,1
Cacalia atriplicifolia,Arnoglossum atriplicifolium,0,1
Calamagrostis canadensis,Calamagrostis canadensis,0,1
Camassia scilloides,Camassia scilloides,0,3
Campanula americana,Campanula americana,12,0
Campanulastrum americanum,Campanula americana,0,5
Cardamine concatenata,Cardamine concatenata,0,22
Cardamine douglassii,Cardamine douglassii,0,1
Carex albursina,Carex albursina,0,2
Carex blanda,Carex blanda,12,6
Carex cephalophora,Carex cephalophora,0,1
Carex cristatella,Carex cristatella,0,1
Carex granularis,Carex granularis,0,2
Carex gravida,Carex gravida,1,0
Carex grisea,Carex grisea,0,1
Carex hirtifolia,Carex hirtifolia,9,5
Carex hIrtifolia,Carex,0,1
Carex jamesii,Carex jamesii,0,4
Carex lacustris,Carex lacustris,0,2
Carex muskingumensis,Carex muskingumensis,0,2
Carex pensylvanica,Carex pensylvanica,4,4
Carex rosea,Carex rosea,2,2
Carex sp.,Carex,0,22
Carex sparganioides,Carex sparganioides,1,0
Carex species,Carex,28,0
Carex tribuloides,Carex tribuloides,1,1
Carex vulpinoidea,Carex vulpinoidea,2,1
Carex woodii,Carex woodii,0,1
Carya cordiformis,Carya cordiformis,15,9
Carya ovata,Carya ovata,9,3
Carya sp.,Carya,0,2
Carya species,Carya,3,0
Caulophyllum thalictroides,Caulophyllum thalictroides,2,4
Celastrus orbiculatus,Celastrus orbiculatus,0,8
Celastrus scandens,Celastrus scandens,12,1
Celtis occidentalis,Celtis occidentalis,12,15
Cerastium sp.,Cerastium,0,2
Cerastium vulgatum,Cerastium glomeratum,0,1
Cercis canadensis,Cercis canadensis,8,10
Chenopodium album,Chenopodium album,3,2
Chenopodium sp.,Chenopodium,0,1
Chrysanthemum leucanthemum,Leucanthemum vulgare,0,4
Chrysanthemum leucanthemum pinnatifidum,Leucanthemum vulgare,8,1
Cinna arundinacea,Cinna arundinacea,0,1
Circaea lutetiana,Circaea lutetiana,0,73
Circaea lutetiana canadensis,Circaea lutetiana subsp. canadensis,158,0
