,allspp,both_07_and_18,only_in_07,only_in_18
1,,1,0,0
2,Acalypha virginica var. rhomboidea,1,0,0
3,Acer,1,0,0
4,Acer negundo,1,0,0
5,Acer platanoides,1,0,0
6,Acer rubrum,0,1,0
7,Acer saccharinum,1,0,0
8,Acer saccharum,1,0,0
9,Acer saccharum subsp. nigrum,1,0,0
10,Achillea millefolium,1,0,0
11,Actaea pachypoda,0,0,1
12,Aesculus,1,0,0
13,Aesculus glabra,0,1,0
14,Ageratina altissima,1,0,0
15,Agrimonia,1,0,0
16,Agrimonia gryposepala,1,0,0
17,Agrimonia pubescens,0,0,1
18,Agrostis,0,1,0
19,Ailanthus altissima,0,0,1
20,Alisma subcordatum,0,0,1
21,Alliaria petiolata,1,0,0
22,Allium,0,0,1
23,Allium canadense,1,0,0
24,Allium cernuum,1,0,0
25,Allium stellatum,0,1,0
26,Allium tricoccum,1,0,0
27,Allium tricoccum var. burdickii,0,0,1
28,Allium vineale,0,0,1
29,Alnus,0,1,0
30,Ambrosia artemisiifolia,1,0,0
31,Ambrosia trifida,1,0,0
32,Amorpha,0,0,1
33,Andropogon gerardii,1,0,0
34,Anemone,0,1,0
35,Anemone canadensis,0,0,1
36,Anemone caroliniana,0,1,0
37,Anemone hepatica var. acuta,1,0,0
38,Anemone quinquefolia,1,0,0
39,Anemone virginiana,1,0,0
40,Anemonella thalictroides,1,0,0
41,Antennaria plantaginifolia,0,0,1
42,Apocynum cannabinum,0,0,1
43,Aquilegia canadensis,0,1,0
44,Arctium minus,1,0,0
45,Arisaema dracontium,1,0,0
46,Arisaema triphyllum,1,0,0
47,Arnoglossum atriplicifolium,0,0,1
48,Aruncus dioicus var. pubescens,0,1,0
49,Asarum canadense,1,0,0
50,Asclepias meadii,0,1,0
51,Asclepias syriaca,0,1,0
52,Asclepias verticillata,0,1,0
53,Asimina,0,1,0
54,Asimina triloba,0,0,1
55,Asplenium,0,1,0
56,Aster,1,0,0
57,Barbarea vulgaris,1,0,0
58,Berberis thunbergii,1,0,0
59,Bidens cernua,0,1,0
60,Bidens frondosa,1,0,0
61,Boehmeria cylindrica,1,0,0
62,Brassica,0,0,1
63,Brassicaceae,0,1,0
64,Bromus,0,0,1
65,Bromus inermis,1,0,0
66,Bromus tectorum,0,0,1
67,Calluna vulgaris,0,0,1
68,Calystegia sepium,1,0,0
69,Camassia,0,0,1
70,Camassia scilloides,0,0,1
71,Campanula americana,1,0,0
72,Cardamine,0,0,1
73,Cardamine concatenata,0,0,1
74,Cardamine douglassii,0,0,1
75,Carex,1,0,0
76,Carex albursina,0,0,1
77,Carex blanda,1,0,0
78,Carex granularis,0,0,1
79,Carex gravida,0,1,0
80,Carex grisea,0,0,1
81,Carex hirtifolia,1,0,0
82,Carex jamesii,0,0,1
83,Carex lacustris,0,0,1
84,Carex muskingumensis,0,0,1
85,Carex pensylvanica,1,0,0
86,Carex rosea,0,1,0
87,Carex sparganioides,0,1,0
88,Carex tribuloides,0,1,0
89,Carex trichocarpa,0,0,1
90,Carex vulpinoidea,0,1,0
91,Carya,1,0,0
92,Carya cordiformis,1,0,0
93,Carya ovata,1,0,0
94,Caulophyllum thalictroides,1,0,0
