allspp_cleaned,both_07_and_18,only_in_07,only_in_18,freq_07,freq_18
,1,0,0,404,584
Acalypha virginica var. rhomboidea,1,0,0,6,10
Acer,1,0,0,12,2
Acer negundo,1,0,0,210,55
Acer platanoides,1,0,0,20,23
Acer rubrum,1,0,0,4,1
Acer saccharinum,1,0,0,58,21
Acer saccharum,1,0,0,74,989
Acer saccharum subsp. nigrum,0,1,0,1602,0
Achillea millefolium,1,0,0,12,13
Actaea pachypoda,0,0,1,0,2
Aesculus,1,0,0,10,4
Aesculus glabra,0,1,0,6,0
Ageratina altissima,1,0,0,88,146
Agrimonia,1,0,0,4,20
Agrimonia gryposepala,1,0,0,14,16
Agrimonia pubescens,0,0,1,0,8
Agrostis,1,0,0,2,1
Agrostis stolonifera,0,0,1,0,2
Ailanthus altissima,0,0,1,0,1
Alisma subcordatum,0,0,1,0,3
Alliaria petiolata,1,0,0,378,228
Allium,0,0,1,0,7
Allium canadense,1,0,0,4,36
Allium cernuum,1,0,0,2,3
Allium stellatum,0,1,0,2,0
Allium tricoccum,1,0,0,6,15
Allium vineale,0,0,1,0,4
Alnus,0,1,0,4,0
Ambrosia artemisiifolia,1,0,0,8,22
Ambrosia trifida,1,0,0,4,54
Andropogon gerardii,1,0,0,4,11
Anemone,0,1,0,2,0
Anemone canadensis,0,0,1,0,3
Anemone caroliniana,0,1,0,2,0
Anemone hepatica var. acuta,1,0,0,2,4
Anemone quinquefolia,1,0,0,2,26
Anemone virginiana,1,0,0,6,5
Anemonella thalictroides,1,0,0,16,31
Antennaria plantaginifolia,0,0,1,0,1
Apocynum cannabinum,0,0,1,0,9
Aquilegia canadensis,0,1,0,2,0
Arctium minus,1,0,0,2,4
Arisaema dracontium,1,0,0,2,7
Arisaema triphyllum,1,0,0,164,120
Arnoglossum atriplicifolium,0,0,1,0,1
Aruncus dioicus var. pubescens,0,1,0,2,0
Asarum canadense,1,0,0,14,16
Asclepias exaltata,0,0,1,0,1
Asclepias incarnata,0,0,1,0,1
Asclepias meadii,0,1,0,2,0
Asclepias syriaca,1,0,0,2,9
Asclepias verticillata,0,1,0,2,0
Asimina,0,1,0,4,0
Asimina triloba,0,0,1,0,1
Asplenium,0,1,0,2,0
Aster,0,1,0,40,0
Athyrium filix-femina,0,0,1,0,1
Barbarea vulgaris,1,0,0,4,3
Berberis thunbergii,1,0,0,4,4
Bidens aristosa,0,0,1,0,2
Bidens cernua,0,1,0,2,0
Bidens connata,0,0,1,0,1
Bidens frondosa,1,0,0,6,39
Bidens vulgata,0,0,1,0,2
Boehmeria cylindrica,1,0,0,10,4
Bolboschoenus fluviatilis,0,0,1,0,1
Botrychium virginianum,0,0,1,0,2
Brassica,0,0,1,0,1
Brassicaceae,0,1,0,2,0
Bromus,0,0,1,0,1
Bromus inermis,1,0,0,36,17
Bromus japonicus,0,0,1,0,1
Bromus pubescens,0,0,1,0,2
Bromus tectorum,0,0,1,0,1
Calamagrostis canadensis,0,0,1,0,1
Calystegia sepium,1,0,0,10,24
Camassia scilloides,0,0,1,0,8
