"","seqOrSplice","spliceRule","spliceTaxa"
"Acalypha_virginica","** SPLICE **","genus",""
"Acer_negundo","seq","",""
"Acer_saccharum","seq","",""
"Acer_rubrum","seq","",""
"Acer_saccharinum","seq","",""
"Achillea_millefolium","seq","",""
"Actaea_pachypoda","seq","",""
"Ageratina_altissima","** SPLICE **","genus",""
"Poa_nemoralis","seq","",""
"Agrimonia_gryposepala","** SPLICE **","genus",""
"Agrimonia_NA","** SPLICE **","genus",""
"Agrostis_NA","** SPLICE **","genus",""
"Agrimonia_pubescens","** SPLICE **","genus",""
"Agrostis_stolonifera","seq","",""
"Alisma_subcordatum","seq","",""
"Allium_canadense","** SPLICE **","genus",""
"Alliaria_petiolata","seq","",""
"Allium_vineale","seq","",""
"Ambrosia_artemisiifolia","seq","",""
"Ambrosia_trifida","seq","",""
"NA_NA","** SPLICE **","???",""
"Andropogon_gerardii","seq","",""
"Anemone_canadensis","seq","",""
"Anemone_quinquefolia","seq","",""
"Anemonella_thalictroides","** SPLICE **","???",""
"Anemone_virginiana","** SPLICE **","genus",""
"Apocynum_cannabinum","seq","",""
"Arctium_minus","seq","",""
"Arisaema_dracontium","seq","",""
"Arisaema_triphyllum","seq","",""
"Asarum_canadense","seq","",""
"Asclepias_exaltata","seq","",""
"Asclepias_incarnata","seq","",""
"Asclepias_syriaca","seq","",""
"Athyrium_filix-femina","** SPLICE **","genus",""
"Berberis_thunbergii","seq","",""
"Bidens_aristosa","** SPLICE **","genus",""
"Bidens_connata","** SPLICE **","genus",""
"Bidens_frondosa","seq","",""
"Bidens_vulgata","** SPLICE **","genus",""
"Boehmeria_cylindrica","** SPLICE **","genus",""
"Botrychium_virginianum","seq","",""
"Bromus_inermis","seq","",""
"Bromus_japonicus","seq","",""
"Bromus_pubescens","seq","",""
"Calamagrostis_canadensis","seq","",""
"Campanula_americana","** SPLICE **","genus",""
"Carya_cordiformis","seq","",""
"Carex_NA","** SPLICE **","genus",""
"Carya_ovata","seq","",""
"Caulophyllum_thalictroides","seq","",""
"Celtis_occidentalis","seq","",""
"Celastrus_orbiculatus","seq","",""
"Celastrus_scandens","seq","",""
"Cercis_canadensis","seq","",""
"Chenopodium_album","seq","",""
"Leucanthemum_vulgare","seq","",""
"Cirsium_arvense","seq","",""
"Circaea_lutetiana","seq","",""
"Cirsium_vulgare","seq","",""
"Clematis_virginiana","seq","",""
"Clinopodium_vulgare","seq","",""
"Calystegia_sepium","seq","",""
"Cornus_NA","** SPLICE **","genus",""
"Cornus_amomum","seq","",""
"Cornus_racemosa","seq","",""
"Coreopsis_tripteris","seq","",""
"Crataegus_NA","** SPLICE **","genus",""
"Cryptotaenia_canadensis","seq","",""
"Carex_albursina","seq","",""
"Carex_blanda","seq","",""
