allspp_uncleaned,both_07_and_18,only_in_07,only_in_18,freq_07,freq_18
,0,0,0,0,0
??,0,1,0,6,0
Acalypha rhomboidea,1,0,0,6,10
Acer negundo,1,0,0,210,55
Acer nigrum,0,1,0,1602,0
Acer platanoides,1,0,0,20,23
Acer rubrum,1,0,0,4,1
Acer saccharinum,1,0,0,58,21
Acer saccharum,1,0,0,74,989
Acer sp.,0,0,1,0,2
Acer species,0,1,0,12,0
Achillea millefolium,1,0,0,12,13
Actaea pachypoda,0,0,1,0,2
Actinomeris alternifolia,0,1,0,4,0
Aesculus glabra,0,1,0,6,0
Aesculus sp.,0,0,1,0,4
Aesculus species,0,1,0,10,0
Ageratina altissima,0,0,1,0,146
Agostis alba,0,1,0,2,0
Agrimonia gryposepala,1,0,0,14,16
Agrimonia pubescens,0,0,1,0,8
Agrimonia sp.,0,0,1,0,20
Agrimonia species,0,1,0,4,0
Agropyron repens,0,1,0,18,0
Agrostis alba,1,0,0,2,3
Agrostis sp.,0,0,1,0,1
Agrostis species,0,1,0,2,0
Agrostis stolonifera,0,0,1,0,2
Ailanthus altissima,0,0,1,0,1
Alisma subcordatum,0,0,1,0,3
Alliaria petiolata,1,0,0,378,228
Allium canadense,1,0,0,4,36
Allium cernuum,1,0,0,2,3
Allium sp.,0,0,1,0,7
Allium stellatum,0,1,0,2,0
Allium tricoccum,1,0,0,6,15
Allium vineale,0,0,1,0,4
Alnus species,0,1,0,4,0
Ambrosia artemisiifolia,0,0,1,0,22
Ambrosia artemisiifolia elatior,0,1,0,8,0
Ambrosia trifida,1,0,0,4,54
Amphicarpaea bracteata,0,0,1,0,41
Andropogon gerardii,1,0,0,4,11
Anemone canadensis,0,0,1,0,3
Anemone caroliniana,0,1,0,2,0
Anemone quinquefolia,1,0,0,2,26
Anemone species,0,1,0,2,0
Anemone virginiana,1,0,0,6,5
Anemonella thalictroides,1,0,0,16,29
Antennaria plantaginifolia,0,0,1,0,1
Apocynum cannabinum,0,0,1,0,7
Apocynum sibiricum,0,0,1,0,2
Aquilegia canadensis,0,1,0,2,0
Arctium minus,1,0,0,2,4
